Evaluation Split,Accepted-Only Baseline AUC,Reject-Inferred (Augmented) AUC,AUC Delta
Test Set (In-Time),0.6336,0.6337,0.0
OOT 2017 (Out-of-Time),0.638,0.638,0.0
