feature,bin,woe,points
grade,C,-0.29780198963693166,4.1
grade,D,-0.657062544752622,-2.3
grade,B,0.2767283017517335,14.2
grade,A,1.1186424121060947,29.0
grade,F,-1.1838905779905406,-11.6
grade,E,-0.9521499577539637,-7.5
grade,G,-1.6053379919487119,-19.0
home_ownership,RENT,-0.2122811590821319,6.1
home_ownership,OWN,-0.084887824265784,8.0
home_ownership,MORTGAGE,0.24562575054272703,13.0
home_ownership,ANY,-0.6617418093842897,-0.6
verification_status,Source Verified,-0.038488979557535614,8.4
verification_status,Verified,-0.22906283159692933,4.0
verification_status,Not Verified,0.3111099259560675,16.5
fico_range_low,<= 6.51,-0.33580648607096947,-7.6
fico_range_low,"(6.51, 6.52]",-0.20184371141250934,-0.9
fico_range_low,"(6.52, 6.55]",-0.011703721245996905,8.7
fico_range_low,"(6.55, 6.57]",0.2392292004402393,21.3
fico_range_low,> 6.57,0.7384680197975756,46.4
dti,<= 2.43,0.3028945190548634,18.1
dti,"(2.43, 2.78]",0.21330801786898304,15.5
dti,"(2.78, 3.04]",0.05682273329970243,11.0
dti,"(3.04, 3.28]",-0.1105471882896322,6.1
dti,> 3.28,-0.36510377328028115,-1.3
lti_log,<= -2.30,0.22858067605032337,14.9
lti_log,"(-2.30, -1.89]",0.15382102975331885,13.1
lti_log,"(-1.89, -1.57]",0.06130453194616766,10.8
lti_log,"(-1.57, -1.25]",-0.06049970024113738,7.8
lti_log,> -1.25,-0.3207135090509575,1.4
acc_open_past_24mths,<= 1.10,0.3745570809577295,17.1
acc_open_past_24mths,"(1.10, 1.39]",0.16010703159085035,12.6
acc_open_past_24mths,"(1.39, 1.79]",-0.009096572133674066,9.1
acc_open_past_24mths,"(1.79, 2.08]",-0.18683985385922408,5.4
acc_open_past_24mths,> 2.08,-0.4484934469930181,-0.0
bc_open_to_buy,<= 6.86,-0.25374660728383547,1.2
bc_open_to_buy,"(6.86, 7.97]",-0.16232608992441208,4.1
bc_open_to_buy,"(7.97, 8.72]",-0.06211793460345186,7.3
bc_open_to_buy,"(8.72, 9.55]",0.11140380844241547,12.9
bc_open_to_buy,> 9.55,0.4778030227093802,24.6
mort_acc,<= 1.10,-0.10645154761899107,4.2
mort_acc,"(1.10, 1.39]",0.2640961377874672,21.9
mort_acc,> 1.39,0.4061736591529604,28.6
tot_cur_bal,<= 9.98,-0.19307751881060686,0.2
tot_cur_bal,"(9.98, 10.70]",-0.1970235423181611,-0.0
tot_cur_bal,"(10.70, 11.61]",-0.11434267097089855,3.9
tot_cur_bal,"(11.61, 12.33]",0.17245091923229952,17.5
tot_cur_bal,> 12.33,0.4341969854271499,29.9
inq_intensity,<= 0.17,0.13934117401356474,11.2
inq_intensity,"(0.17, 0.23]",-0.09743073050759174,8.0
inq_intensity,> 0.23,-0.2872784565844831,5.3
mo_sin_old_rev_tl_op,<= 4.66,-0.2727496944298756,3.3
mo_sin_old_rev_tl_op,"(4.66, 4.97]",-0.08447161761418161,7.4
mo_sin_old_rev_tl_op,"(4.97, 5.23]",0.07582264898796576,11.0
mo_sin_old_rev_tl_op,"(5.23, 5.53]",0.13622927554844955,12.3
mo_sin_old_rev_tl_op,> 5.53,0.2018807385347415,13.8
num_actv_rev_tl,<= 1.39,0.18128515042452753,13.6
num_actv_rev_tl,"(1.39, 1.61]",0.08564854005388582,11.3
num_actv_rev_tl,"(1.61, 1.95]",0.0008956716738771717,9.3
num_actv_rev_tl,"(1.95, 2.20]",-0.10394813529424064,6.9
num_actv_rev_tl,> 2.20,-0.25015664854269243,3.4
