column,n_missing,bad_rate_populated,bad_rate_missing,gap_pp
zip_code,1,0.20521407702123462,0.0,-20.52140770212346
num_rev_accts,1,0.20521407702123462,0.0,-20.52140770212346
inq_last_6mths,1,0.20521407702123462,0.0,-20.52140770212346
sec_app_mths_since_last_major_derog,1191692,0.3312634344399331,0.20477103144100992,-12.64924029989232
avg_cur_bal,17,0.20521264159242456,0.29411764705882354,8.890500546639899
title,16646,0.20401396500945954,0.29021987264207616,8.620590763261662
revol_bal_joint,1184332,0.2786005022949684,0.20449840078626602,-7.410210150870239
sec_app_chargeoff_within_12_mths,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_num_rev_accts,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_open_act_il,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_mort_acc,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_inq_last_6mths,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_earliest_cr_line,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_fico_range_high,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_fico_range_low,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_collections_12_mths_ex_med,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
sec_app_open_acc,1184331,0.27857637686179426,0.20449857345623818,-7.407780340555608
emp_length,70579,0.20089753843419533,0.27403335269697787,7.313581426278254
sec_app_revol_util,1184519,0.27605633802816903,0.2045344988134424,-7.152183921472663
num_tl_120dpd_2m,48337,0.20239084931096205,0.27223452013985144,6.98436708288894
emp_title,74764,0.20093032382940199,0.2694478626076721,6.851753877827013
pct_tl_nvr_dlq,153,0.20522176485248292,0.1437908496732026,-6.143091517928031
dti_joint,1177164,0.264279989313385,0.20427485040317236,-6.000513891021261
annual_inc_joint,1177161,0.26423763222566515,0.20427537099852952,-5.996226122713563
verification_status_joint,1177162,0.2641983223807234,0.20427604696719737,-5.992227541352602
mths_since_recent_inq,116300,0.21103967379876784,0.15113499570077385,-5.990467809799399
desc,1131912,0.1532196288711367,0.20815222384779028,5.49325949766536
il_util,777782,0.23375197621604557,0.1898732549737587,-4.387872124228687
all_util,714599,0.2311710438829787,0.18773186080585055,-4.343918307712816
total_cu_tl,714562,0.23116158373795231,0.18773598372149652,-4.3425600016455785
inq_last_12m,714562,0.23116158373795231,0.18773598372149652,-4.3425600016455785
open_acc_6m,714562,0.23116158373795231,0.18773598372149652,-4.3425600016455785
open_rv_24m,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
open_act_il,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
open_il_12m,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
open_rv_12m,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
total_bal_il,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
inq_fi,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
max_bal_bc,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
open_il_24m,714561,0.23116110347005514,0.18773624645061793,-4.342485701943721
mths_since_rcnt_il,726909,0.23032816598076636,0.18901127926604294,-4.131688671472341
mths_since_last_record,979905,0.23022215637067425,0.1997020119297279,-3.0520144440946364
mths_since_last_major_derog,861132,0.2222962416392081,0.1985735055717358,-2.37227360674723
dti,223,0.20521036150866134,0.2242152466367713,1.9004885128109965
mths_since_last_delinq,590519,0.21150885423549623,0.19876075113586522,-1.274810309963101
mths_since_recent_bc_dlq,895166,0.21288737101488794,0.2026361591034512,-1.0251211911436742
bc_util,13083,0.2051097568811528,0.21462967209355652,0.9519915212403723
mths_since_recent_bc,11602,0.20512346351402586,0.21444578520944665,0.9322321695420799
bc_open_to_buy,12383,0.2051194089375883,0.21424533634821932,0.9125927410631035
mo_sin_old_il_acct,35004,0.20495057607408204,0.21394697748828706,0.8996401414205019
percent_bc_gt_75,12794,0.20512558269270592,0.213381272471471,0.8255689778765091
mths_since_recent_revol_delinq,776512,0.21009283038484192,0.20257896851561857,-0.7513861869223343
revol_util,686,0.2052153919910843,0.20262390670553937,-0.25914852855449255
loan_amnt,0,0.20521390542019718,,
funded_amnt,0,0.20521390542019718,,
funded_amnt_inv,0,0.20521390542019718,,
term,0,0.20521390542019718,,
int_rate,0,0.20521390542019718,,
installment,0,0.20521390542019718,,
grade,0,0.20521390542019718,,
sub_grade,0,0.20521390542019718,,
home_ownership,0,0.20521390542019718,,
annual_inc,0,0.20521390542019718,,
verification_status,0,0.20521390542019718,,
issue_d,0,0.20521390542019718,,
pymnt_plan,0,0.20521390542019718,,
purpose,0,0.20521390542019718,,
addr_state,0,0.20521390542019718,,
delinq_2yrs,0,0.20521390542019718,,
earliest_cr_line,0,0.20521390542019718,,
fico_range_low,0,0.20521390542019718,,
fico_range_high,0,0.20521390542019718,,
open_acc,0,0.20521390542019718,,
pub_rec,0,0.20521390542019718,,
revol_bal,0,0.20521390542019718,,
total_acc,0,0.20521390542019718,,
initial_list_status,0,0.20521390542019718,,
collections_12_mths_ex_med,0,0.20521390542019718,,
application_type,0,0.20521390542019718,,
acc_now_delinq,0,0.20521390542019718,,
tot_coll_amt,0,0.20521390542019718,,
tot_cur_bal,0,0.20521390542019718,,
total_rev_hi_lim,0,0.20521390542019718,,
acc_open_past_24mths,0,0.20521390542019718,,
chargeoff_within_12_mths,0,0.20521390542019718,,
delinq_amnt,0,0.20521390542019718,,
mo_sin_old_rev_tl_op,0,0.20521390542019718,,
mo_sin_rcnt_rev_tl_op,0,0.20521390542019718,,
mo_sin_rcnt_tl,0,0.20521390542019718,,
mort_acc,0,0.20521390542019718,,
num_accts_ever_120_pd,0,0.20521390542019718,,
num_actv_bc_tl,0,0.20521390542019718,,
num_actv_rev_tl,0,0.20521390542019718,,
num_bc_sats,0,0.20521390542019718,,
num_bc_tl,0,0.20521390542019718,,
num_il_tl,0,0.20521390542019718,,
num_op_rev_tl,0,0.20521390542019718,,
num_rev_tl_bal_gt_0,0,0.20521390542019718,,
num_sats,0,0.20521390542019718,,
num_tl_30dpd,0,0.20521390542019718,,
num_tl_90g_dpd_24m,0,0.20521390542019718,,
num_tl_op_past_12m,0,0.20521390542019718,,
pub_rec_bankruptcies,0,0.20521390542019718,,
tax_liens,0,0.20521390542019718,,
tot_hi_cred_lim,0,0.20521390542019718,,
total_bal_ex_mort,0,0.20521390542019718,,
total_bc_limit,0,0.20521390542019718,,
total_il_high_credit_limit,0,0.20521390542019718,,
disbursement_method,0,0.20521390542019718,,
