column,mean,median,std,skew,min,max,pct_missing
loan_amnt,14547.096926194037,12000.0,8687.454331787676,0.7611643771453637,1000.0,40000.0,0.0
int_rate,13.25329592710267,12.74,4.772168053740089,0.7236365562653686,5.32,30.99,0.0
annual_inc,76600.6347541264,65000.0,70083.49243465891,47.23358272150332,0.0,10999200.0,0.0
dti,18.51136062546414,17.87,10.864281128641274,27.12588288709873,-1.0,999.0,0.00018647371515012612
fico_range_low,694.7497113002236,685.0,31.019706636069262,1.3491015760572955,660.0,845.0,0.0
delinq_2yrs,0.3325269529776842,0.0,0.9013728791906644,5.508858056455345,0.0,39.0,0.0
inq_last_6mths,0.6447263015123617,0.0,0.9337127982476346,1.7341255317096724,0.0,6.0,8.362050006871513e-07
open_acc,11.722430112076557,11.0,5.503777284727517,1.3006371434930806,0.0,90.0,0.0
pub_rec,0.23163296621146454,0.0,0.6274274181161906,11.351952217848094,0.0,86.0,0.0
revol_bal,16482.425569810992,11260.0,22812.306380938935,13.973162436098542,0.0,2904836.0,0.0
revol_util,52.223727966947656,52.5,24.149156868005235,-0.023323699431230957,0.0,892.3,0.0005736366304617269
total_acc,25.18009932442998,23.0,12.008679594124896,0.9592722260986585,2.0,176.0,0.0
mort_acc,1.6794282699169398,1.0,2.0008283031842193,1.6336397963573535,0.0,51.0,0.0
pub_rec_bankruptcies,0.14205868653935724,0.0,0.38909232120060466,3.379031422913074,0.0,12.0,0.0
tot_cur_bal,140782.58274541152,80142.0,156750.8960761002,2.797711034601837,0.0,5445012.0,0.0
avg_cur_bal,13420.592285731966,7386.0,16158.225554782877,3.8465775214498223,0.0,958084.0,1.4215485011459528e-05
bc_open_to_buy,9971.132601208623,4612.0,15036.509475752338,3.8323965708031866,0.0,559912.0,0.010354726523335578
acc_open_past_24mths,4.702684803395662,4.0,3.185210578428813,1.3699069226124827,0.0,64.0,0.0
mo_sin_old_rev_tl_op,182.06613545350325,165.0,94.5359508554638,1.033697317402378,2.0,852.0,0.0
num_actv_rev_tl,5.68116674011334,5.0,3.3067605032351355,1.5389222854325377,0.0,63.0,0.0
