issue_year,A,B,C,D,E,F,G
2013,0.13114596006053234,0.32725290050740335,0.28285510815702797,0.15256223850924305,0.06720126999198837,0.03258063558944838,0.006401887184356548
2014,0.16080016853202334,0.2686561812257119,0.2801486309014222,0.1761876801298055,0.08172458460890261,0.025638382271865462,0.006844372330268979
2015,0.19142794757499748,0.284694817678793,0.27857040149542267,0.14240599021158526,0.0759853653081114,0.021866828564277078,0.00504864916681312
2016,0.1670220569420515,0.3036556865287184,0.29609184421964824,0.13909008717012675,0.0632503710274475,0.024076696064550245,0.006813258047457396
2017,0.1588107795252804,0.2775851784480366,0.32434842695235677,0.1448196030025809,0.060323291263340045,0.02155078224201369,0.012561938566391647
