cluster,n,bad_rate,pct_of_population
0,568489,0.22645293048766116,0.47537334462767555
1,184618,0.14592293275845258,0.15437849481427468
2,183989,0.10294637179396594,0.1538525218688513
3,258783,0.2735651105366272,0.21639563868919848
