grade, 36 months, 60 months
A,0.05906497453128904,0.11033681765389082
B,0.12870232191383568,0.1861445933468094
C,0.20854554163007902,0.28124837936792757
D,0.2755619431897306,0.37302051905555306
E,0.3363625348358173,0.4334193022940138
F,0.3875868055555556,0.48761189981010944
G,0.4897815362931642,0.5149477900157345
