grade,tercile_1_bad_rate,tercile_2_bad_rate,tercile_3_bad_rate
A,0.0377066038720062,0.0629694765708835,0.08046679384762132
B,0.11644676546369469,0.1386674505870757,0.15089445515619462
C,0.21014950151749662,0.2311955798047574,0.24490060613397205
D,0.29394773963861087,0.3208000268690804,0.320973348783314
E,0.39402000425622474,0.3855784918777045,0.4070159259390629
F,0.4309186731425028,0.45375632944094246,0.5067176519222819
G,0.4450784593437946,0.558687120941848,0.5283624687834463
