column,n_distinct,n_non_null
emp_title,317489,1121115
title,33374,1179233
zip_code,942,1195878
addr_state,51,1195879
sub_grade,35,1195879
purpose,14,1195879
grade,7,1195879
home_ownership,5,1195879
verification_status,3,1195879
