feature,coef
grade_E,0.8010903667990049
grade_D,0.7738073827491692
grade_F,0.7604342039255314
grade_G,0.7010167519035743
home_ownership_MORTGAGE,-0.6781793072795664
grade_C,0.6171299198148864
term_ 60 months,0.5879204116561695
home_ownership_OWN,-0.5467820074007339
emp_length_None,0.48852242863453715
addr_state_DC,-0.447420683439122
home_ownership_RENT,-0.41940526962617586
grade_B,0.40005897135002383
purpose_wedding,-0.3912741620536875
addr_state_WV,-0.383741588255921
addr_state_MS,0.36922101732459356
purpose_small_business,0.3690268045810427
addr_state_OR,-0.3582893787752373
addr_state_ME,-0.35244588990479725
addr_state_SC,-0.34532604488071056
addr_state_WA,-0.34123760256368385
addr_state_NH,-0.33639404952791124
addr_state_CO,-0.2811986192096615
addr_state_AR,0.276077549744975
addr_state_OK,0.25550713826183596
addr_state_VT,-0.25384339698443553
addr_state_LA,0.23321928101196793
addr_state_AL,0.22918184532596048
addr_state_RI,-0.22360503746787078
addr_state_HI,-0.20053001307619825
int_rate,0.1963370038167688
addr_state_MT,-0.19145462281273037
addr_state_NE,0.1900685089520021
acc_open_past_24mths,0.1719357873438462
purpose_medical,0.1705730198013772
purpose_moving,0.1671600408092631
addr_state_UT,-0.16707735549791744
dti,0.14174568063813126
addr_state_KS,-0.14116452159238077
loan_amnt,0.1333884132684506
addr_state_CT,-0.13099311689288104
addr_state_IN,0.12142023251134904
addr_state_MO,0.12094836627917202
addr_state_WY,-0.11854398103225987
addr_state_SD,0.11773520844685804
total_acc,-0.1167269441790771
fico_range_low,-0.10999134495434815
verification_status_Source Verified,0.10868241119781386
addr_state_NV,0.10710876921149157
addr_state_GA,-0.10085947940713368
addr_state_NM,0.09944031931001795
purpose_renewable_energy,0.09634510373537272
num_actv_rev_tl,0.09350617515206193
purpose_major_purchase,0.09238719782895187
addr_state_OH,0.08643696361853906
purpose_house,-0.08480444512455838
addr_state_MD,0.08431810423084508
addr_state_KY,0.08402763229579034
emp_length_7 years,-0.07922185091880068
addr_state_NY,0.07722031686676151
mort_acc,-0.07577509424826427
addr_state_NJ,0.07544370147189487
addr_state_WI,-0.0748965045134633
bc_open_to_buy,-0.07114436913018313
purpose_credit_card,-0.06743640018000706
addr_state_IL,-0.06288581044210505
purpose_home_improvement,0.06021744327932684
addr_state_VA,0.05735560151972369
emp_length_< 1 year,0.05640909116874313
addr_state_MN,0.05541953157904276
annual_inc,-0.05431323864861963
avg_cur_bal,-0.052923422801968316
purpose_vacation,0.052223329270871865
emp_length_8 years,-0.05082414119415045
delinq_2yrs,0.049888973763264635
emp_length_10+ years,-0.04891309639401612
addr_state_PA,0.04779648640664798
addr_state_MA,0.04639616059817251
revol_bal,-0.04468337913704348
addr_state_CA,-0.03960497460296187
verification_status_Verified,0.03867680880521124
addr_state_FL,0.03531068804086985
inq_last_6mths,0.03527130745315318
purpose_other,0.03484033310944028
emp_length_6 years,-0.032492162367315884
addr_state_NC,0.030344993561487295
addr_state_MI,0.02969569733862125
tot_cur_bal,-0.024647476877869775
emp_length_2 years,-0.022365074891484062
emp_length_4 years,-0.022056335819196624
addr_state_ND,0.020494114633742126
addr_state_TX,0.02034898150916421
purpose_debt_consolidation,-0.019518672033219702
addr_state_ID,-0.01927134714439446
emp_length_5 years,-0.016031579153812262
mo_sin_old_rev_tl_op,-0.013800656813614576
emp_length_3 years,-0.012953445086643168
addr_state_TN,0.012044124274831132
emp_length_9 years,-0.011127355076157943
addr_state_AZ,0.00959788729479093
addr_state_IA,-0.00815515965403307
pub_rec_bankruptcies,0.006120221224679052
revol_util,0.003332212717636762
open_acc,0.0018206163412203362
addr_state_DE,0.0009390167685670103
pub_rec,-0.00015525373428688932
