feature,corr_with_is_bad
last_fico_range_high,-0.6778036617037227
last_fico_range_low,-0.5812442824362979
recoveries,0.5137342532514214
collection_recovery_fee,0.49529510471516236
total_rec_prncp,-0.44620720410669396
last_pymnt_amnt,-0.3562181687905347
total_pymnt,-0.31895190960086883
total_pymnt_inv,-0.31895169563290376
hardship_dpd,0.24342801081480106
sec_app_fico_range_low,-0.23960876983255722
sec_app_fico_range_high,-0.23960876983255722
orig_projected_additional_accrued_interest,0.1742871401200188
hardship_amount,0.17417977648430502
hardship_payoff_balance_amount,0.16293104137274098
dti_joint,0.15757075820349298
sec_app_mths_since_last_major_derog,-0.15271651725126986
sec_app_inq_last_6mths,0.14995896181529458
sec_app_mort_acc,-0.14206019979853265
total_rec_late_fee,0.14123053802832405
sec_app_revol_util,0.13614624737583583
fico_range_high,-0.12847717197112157
sec_app_collections_12_mths_ex_med,0.0996352935312258
num_tl_op_past_12m,0.09006400476650765
annual_inc_joint,-0.0896576452084581
all_util,0.08876542790987219
open_rv_24m,0.08787878051456134
hardship_last_payment_amount,0.0874803118361786
emp_title,-0.08234789092965573
tot_hi_cred_lim,-0.07772671048347943
total_bc_limit,-0.07216342655220229
sec_app_chargeoff_within_12_mths,0.07030668942352152
num_rev_tl_bal_gt_0,0.07011167058238704
open_rv_12m,0.0671397958436197
percent_bc_gt_75,0.06594191716506757
open_acc_6m,0.06458098123838676
bc_util,0.06408807732476869
funded_amnt,0.06279083033281446
funded_amnt_inv,0.06276169975425674
inq_last_12m,0.0621105313886996
mo_sin_rcnt_tl,-0.05831227739168073
total_rec_int,0.05809771601125067
mths_since_recent_inq,-0.0567192902579065
mo_sin_rcnt_rev_tl_op,-0.05582878793203363
mths_since_recent_bc,-0.05387205228205147
total_rev_hi_lim,-0.052138701075388164
open_il_12m,0.05114834476009582
il_util,0.04999144510287766
open_il_24m,0.04850393735085819
installment,0.04803483367703116
inq_fi,0.04618580644510222
num_actv_bc_tl,0.04186518837122854
title,0.04002068169694115
max_bal_bc,-0.03994128490353888
num_op_rev_tl,0.03492260636732207
sec_app_num_rev_accts,-0.02935019933227249
num_sats,0.029188610968118023
mths_since_rcnt_il,-0.02784890360807106
mo_sin_old_il_acct,-0.025997534761432805
sec_app_open_act_il,0.02587887672952702
revol_bal_joint,0.017444781947572496
num_bc_tl,-0.016892238628188574
num_bc_sats,0.015536465236512037
collections_12_mths_ex_med,0.015469415230210695
mths_since_last_record,0.011325553867281447
mths_since_recent_revol_delinq,-0.01097706666938024
mths_since_last_delinq,-0.010901274811694964
total_cu_tl,-0.010637640519307722
mths_since_recent_bc_dlq,-0.010629486690593706
open_act_il,0.010618423315704251
sec_app_open_acc,0.010581834589838962
num_accts_ever_120_pd,0.010468907676476267
settlement_term,0.01017841724935959
pct_tl_nvr_dlq,-0.009770439323887782
num_tl_90g_dpd_24m,0.0095853956552978
num_il_tl,0.009356990834570035
tax_liens,0.008288621131105667
out_prncp_inv,0.007817816654894059
out_prncp,0.007817816654894047
settlement_percentage,-0.007641523813783826
mths_since_last_major_derog,-0.0046868019163918
num_rev_accts,-0.004261481968957371
acc_now_delinq,0.003145144607195515
settlement_amount,0.0028433904637915524
delinq_amnt,0.0026710094722104533
total_bal_ex_mort,-0.002595230783819105
chargeoff_within_12_mths,0.002396682512103436
num_tl_30dpd,0.002172270470760159
total_bal_il,0.0013918803101878514
num_tl_120dpd_2m,0.0011564817308762259
total_il_high_credit_limit,0.0008359993935379411
tot_coll_amt,-0.00024101910272596324
