,skew_before
annual_inc_skew,47.23358272150296
fico_range_low_skew,1.3491015760572955
delinq_2yrs_skew,5.508858056455345
inq_last_6mths_skew,1.7341255317096724
mo_sin_old_rev_tl_op_skew,1.033697317402378
mort_acc_skew,1.6336397963573535
pub_rec_skew,11.351952217848094
pub_rec_bankruptcies_skew,3.379031422913074
total_acc_skew,0.9592722260986585
