income_tercile,dti_tercile_1,dti_tercile_2,dti_tercile_3
1,0.21626320022832826,0.24883238194084067,0.2652828230409964
2,0.2019667367219325,0.23147379346133887,0.26494551115723924
3,0.18440102747723203,0.20685002594706797,0.23863518422418267
