grade,avg_rate,min_rate,max_rate
A,7.083058140286029,5.32,9.25
B,10.585179221435853,6.0,14.09
C,13.967765316912923,6.0,17.27
D,17.658774651117124,6.0,21.49
E,21.112109220745662,6.0,26.3
F,25.104264209438774,6.0,30.75
G,28.013143876337644,6.0,30.99
